holeCards,commCards,Key,Value
"['D3', 'D9']","['S9', 'S2', 'HQ']",2000_93_2210_Q9932,0.688
"['D3', 'D9']","['S9', 'S2', 'S7']",2000_93_3200_99732,0.584
"['D3', 'D9']","['S9', 'S2', 'S6']",2000_93_3200_99632,0.629
"['D3', 'D9']","['S9', 'S2', 'S5']",2000_93_3200_99532,0.598
"['D3', 'D9']","['S9', 'S2', 'S4']",2000_93_3200_99432,0.647
"['D3', 'D9']","['S9', 'S2', 'HJ']",2000_93_2210_J9932,0.646
"['D3', 'D9']","['S9', 'S2', 'HK']",2000_93_2210_K9932,0.65
"['D3', 'D9']","['S9', 'S2', 'DT']",2000_93_3200_T9932,0.664
"['D3', 'D9']","['S9', 'S2', 'HA']",2000_93_2210_A9932,0.686
"['D3', 'D9']","['S9', 'S2', 'DQ']",2000_93_3200_Q9932,0.683
"['D3', 'D9']","['S9', 'S2', 'C9']",2000_93_2210_99932,0.916
"['D3', 'D9']","['S9', 'S2', 'H5']",2000_93_2210_99532,0.707
"['D3', 'D9']","['S9', 'S2', 'C2']",2000_93_2210_99322,0.694
"['D3', 'D9']","['S9', 'S2', 'C7']",2000_93_2210_99732,0.684
"['D3', 'D9']","['S9', 'S2', 'C6']",2000_93_2210_99632,0.694
"['D3', 'D9']","['S9', 'S2', 'C4']",2000_93_2210_99432,0.737
"['D3', 'D9']","['S9', 'S2', 'HT']",2000_93_2210_T9932,0.655
"['D3', 'D9']","['S9', 'S2', 'DA']",2000_93_3200_A9932,0.682
"['D3', 'D9']","['S9', 'S2', 'D2']",2000_93_3200_99322,0.697
"['D3', 'D9']","['S9', 'HQ', 'S7']",2000_93_2210_Q9973,0.659
"['D3', 'D9']","['S9', 'HQ', 'S6']",2000_93_2210_Q9963,0.684
"['D3', 'D9']","['S9', 'HQ', 'S5']",2000_93_2210_Q9953,0.665
"['D3', 'D9']","['S9', 'HQ', 'S4']",2000_93_2210_Q9943,0.674
"['D3', 'D9']","['S9', 'HQ', 'HJ']",2000_93_2210_QJ993,0.572
"['D3', 'D9']","['S9', 'HQ', 'HK']",2000_93_2210_KQ993,0.588
"['D3', 'D9']","['S9', 'HQ', 'DT']",2000_93_3110_QT993,0.61
"['D3', 'D9']","['S9', 'HQ', 'HA']",2000_93_2210_AQ993,0.596
"['D3', 'D9']","['S9', 'HQ', 'DQ']",2000_93_3110_QQ993,0.732
"['D3', 'D9']","['S9', 'HQ', 'C9']",2000_93_2111_Q9993,0.914
"['D3', 'D9']","['S9', 'HQ', 'C8']",2000_93_2111_Q9983,0.628
"['D3', 'D9']","['S9', 'HQ', 'C3']",2000_93_2111_Q9933,0.871
"['D3', 'D9']","['S9', 'HQ', 'C2']",2000_93_2111_Q9932,0.7
"['D3', 'D9']","['S9', 'HQ', 'C7']",2000_93_2111_Q9973,0.668
"['D3', 'D9']","['S9', 'HQ', 'C6']",2000_93_2111_Q9963,0.686
"['D3', 'D9']","['S9', 'HQ', 'C5']",2000_93_2111_Q9953,0.664
"['D3', 'D9']","['S9', 'HQ', 'C4']",2000_93_2111_Q9943,0.67
