holeCards,commCards,Key,Value
"['D4', 'D5']","['S9', 'DK', 'H5']",2000_54_3110_K9554,0.595
"['D4', 'D5']","['S9', 'DK', 'C3']",2000_54_3110_K9543,0.204
"['D4', 'D5']","['S9', 'DK', 'C2']",2000_54_3110_K9542,0.218
"['D4', 'D5']","['S9', 'DK', 'C7']",2000_54_3110_K9754,0.194
"['D4', 'D5']","['S9', 'DK', 'C6']",2000_54_3110_K9654,0.243
"['D4', 'D5']","['S9', 'DK', 'C4']",2000_54_3110_K9544,0.601
"['D4', 'D5']","['S9', 'DK', 'HT']",2000_54_3110_KT954,0.209
"['D4', 'D5']","['S9', 'DK', 'DA']",2000_54_4100_AK954,0.448
"['D4', 'D5']","['S9', 'DK', 'SQ']",2000_54_3200_KQ954,0.171
"['D4', 'D5']","['S9', 'DK', 'ST']",2000_54_3200_KT954,0.157
"['D4', 'D5']","['S9', 'DK', 'SK']",2000_54_3200_KK954,0.222
"['D4', 'D5']","['S9', 'DK', 'D8']",2000_54_4100_K9854,0.479
"['D4', 'D5']","['S9', 'DK', 'D9']",2000_54_4100_K9954,0.452
"['D4', 'D5']","['S9', 'DK', 'D6']",2000_54_4100_K9654,0.461
"['D4', 'D5']","['S9', 'DK', 'D7']",2000_54_4100_K9754,0.46
"['D4', 'D5']","['S9', 'DK', 'SA']",2000_54_3200_AK954,0.226
"['D4', 'D5']","['S9', 'DK', 'D2']",2000_54_4100_K9542,0.453
"['D4', 'D5']","['S9', 'DK', 'D3']",2000_54_4100_K9543,0.456
"['D4', 'D5']","['S9', 'S3', 'S2']",2000_54_3200_95432,0.252
"['D4', 'D5']","['S9', 'S3', 'HQ']",2000_54_2210_Q9543,0.191
"['D4', 'D5']","['S9', 'S3', 'S7']",2000_54_3200_97543,0.233
"['D4', 'D5']","['S9', 'S3', 'S6']",2000_54_3200_96543,0.324
"['D4', 'D5']","['S9', 'S3', 'S5']",2000_54_3200_95543,0.537
"['D4', 'D5']","['S9', 'S3', 'S4']",2000_54_3200_95443,0.508
"['D4', 'D5']","['S9', 'S3', 'HJ']",2000_54_2210_J9543,0.182
"['D4', 'D5']","['S9', 'S3', 'HK']",2000_54_2210_K9543,0.178
"['D4', 'D5']","['S9', 'S3', 'DT']",2000_54_3200_T9543,0.214
"['D4', 'D5']","['S9', 'S3', 'HA']",2000_54_2210_A9543,0.197
"['D4', 'D5']","['S9', 'S3', 'DQ']",2000_54_3200_Q9543,0.191
"['D4', 'D5']","['S9', 'S3', 'C9']",2000_54_2210_99543,0.225
"['D4', 'D5']","['S9', 'S3', 'H5']",2000_54_2210_95543,0.603
"['D4', 'D5']","['S9', 'S3', 'C3']",2000_54_2210_95433,0.192
"['D4', 'D5']","['S9', 'S3', 'C2']",2000_54_2210_95432,0.268
"['D4', 'D5']","['S9', 'S3', 'C7']",2000_54_2210_97543,0.289
"['D4', 'D5']","['S9', 'S3', 'C6']",2000_54_2210_96543,0.38
"['D4', 'D5']","['S9', 'S3', 'C4']",2000_54_2210_95443,0.627
"['D4', 'D5']","['S9', 'S3', 'HT']",2000_54_2210_T9543,0.175
"['D4', 'D5']","['S9', 'S3', 'DA']",2000_54_3200_A9543,0.228
