holeCards,commCards,Key,Value
"['D2', 'C3']","['DT', 'C4', 'D3']",1100_32_3200_T4332,0.552
"['D2', 'C3']","['DT', 'CA', 'DA']",1100_32_3200_AAT32,0.147
"['D2', 'C3']","['DT', 'CA', 'CT']",1100_32_3200_ATT32,0.15
"['D2', 'C3']","['DT', 'CA', 'D3']",1100_32_3200_AT332,0.53
"['D2', 'C3']","['DT', 'HT', 'DA']",1100_32_3110_ATT32,0.155
"['D2', 'C3']","['DT', 'HT', 'D4']",1100_32_3110_TT432,0.165
"['D2', 'C3']","['DT', 'HT', 'CT']",1100_32_2210_TTT32,0.146
"['D2', 'C3']","['DT', 'HT', 'ST']",1100_32_2111_TTT32,0.166
"['D2', 'C3']","['DT', 'HT', 'D8']",1100_32_3110_TT832,0.161
"['D2', 'C3']","['DT', 'HT', 'D9']",1100_32_3110_TT932,0.155
"['D2', 'C3']","['DT', 'HT', 'D6']",1100_32_3110_TT632,0.151
"['D2', 'C3']","['DT', 'HT', 'D7']",1100_32_3110_TT732,0.171
"['D2', 'C3']","['DT', 'HT', 'D5']",1100_32_3110_TT532,0.192
"['D2', 'C3']","['DT', 'HT', 'D3']",1100_32_3110_TT332,0.568
"['D2', 'C3']","['DT', 'CQ', 'D3']",1100_32_3200_QT332,0.544
"['D2', 'C3']","['DT', 'DA', 'D4']",1100_32_4100_AT432,0.311
"['D2', 'C3']","['DT', 'DA', 'D8']",1100_32_4100_AT832,0.264
"['D2', 'C3']","['DT', 'DA', 'D9']",1100_32_4100_AT932,0.256
"['D2', 'C3']","['DT', 'DA', 'D6']",1100_32_4100_AT632,0.299
"['D2', 'C3']","['DT', 'DA', 'D7']",1100_32_4100_AT732,0.295
"['D2', 'C3']","['DT', 'DA', 'D5']",1100_32_4100_AT532,0.276
"['D2', 'C3']","['DT', 'DA', 'D3']",1100_32_4100_AT332,0.583
"['D2', 'C3']","['DT', 'D4', 'D8']",1100_32_4100_T8432,0.31
"['D2', 'C3']","['DT', 'D4', 'D9']",1100_32_4100_T9432,0.305
"['D2', 'C3']","['DT', 'D4', 'D6']",1100_32_4100_T6432,0.349
"['D2', 'C3']","['DT', 'D4', 'D7']",1100_32_4100_T7432,0.322
"['D2', 'C3']","['DT', 'D4', 'D5']",1100_32_4100_T5432,0.393
"['D2', 'C3']","['DT', 'D4', 'D3']",1100_32_4100_T4332,0.561
"['D2', 'C3']","['DT', 'CT', 'D3']",1100_32_3200_TT332,0.551
"['D2', 'C3']","['DT', 'D8', 'D9']",1100_32_4100_T9832,0.268
"['D2', 'C3']","['DT', 'D8', 'D6']",1100_32_4100_T8632,0.302
"['D2', 'C3']","['DT', 'D8', 'D7']",1100_32_4100_T8732,0.283
"['D2', 'C3']","['DT', 'D8', 'D5']",1100_32_4100_T8532,0.284
"['D2', 'C3']","['DT', 'D8', 'D3']",1100_32_4100_T8332,0.579
"['D2', 'C3']","['DT', 'D9', 'D6']",1100_32_4100_T9632,0.281
"['D2', 'C3']","['DT', 'D9', 'D7']",1100_32_4100_T9732,0.253
"['D2', 'C3']","['DT', 'D9', 'D5']",1100_32_4100_T9532,0.285
"['D2', 'C3']","['DT', 'D9', 'D3']",1100_32_4100_T9332,0.559
"['D2', 'C3']","['DT', 'D6', 'D7']",1100_32_4100_T7632,0.287
"['D2', 'C3']","['DT', 'D6', 'D5']",1100_32_4100_T6532,0.383
"['D2', 'C3']","['DT', 'D6', 'D3']",1100_32_4100_T6332,0.561
"['D2', 'C3']","['DT', 'D7', 'D5']",1100_32_4100_T7532,0.292
"['D2', 'C3']","['DT', 'D7', 'D3']",1100_32_4100_T7332,0.578
"['D2', 'C3']","['DT', 'D5', 'D3']",1100_32_4100_T5332,0.579
"['D2', 'C3']","['HA', 'DQ', 'DA']",1100_32_3110_AAQ32,0.151
"['D2', 'C3']","['HA', 'C9', 'CA']",1100_32_3110_AA932,0.151
"['D2', 'C3']","['HA', 'C8', 'CA']",1100_32_3110_AA832,0.151
"['D2', 'C3']","['HA', 'C2', 'CA']",1100_32_3110_AA322,0.586
"['D2', 'C3']","['HA', 'C7', 'CA']",1100_32_3110_AA732,0.142
