holeCards,commCards,Key,Value
"['D4', 'D6']","['S2', 'S7', 'D2']",2000_64_3200_76422,0.212
"['D4', 'D6']","['S2', 'S6', 'S5']",2000_64_3200_66542,0.566
"['D4', 'D6']","['S2', 'S6', 'S4']",2000_64_3200_66442,0.673
"['D4', 'D6']","['S2', 'S6', 'HJ']",2000_64_2210_J6642,0.636
"['D4', 'D6']","['S2', 'S6', 'HK']",2000_64_2210_K6642,0.629
"['D4', 'D6']","['S2', 'S6', 'DT']",2000_64_3200_T6642,0.651
"['D4', 'D6']","['S2', 'S6', 'HA']",2000_64_2210_A6642,0.638
"['D4', 'D6']","['S2', 'S6', 'DQ']",2000_64_3200_Q6642,0.664
"['D4', 'D6']","['S2', 'S6', 'H5']",2000_64_2210_66542,0.65
"['D4', 'D6']","['S2', 'S6', 'C2']",2000_64_2210_66422,0.643
"['D4', 'D6']","['S2', 'S6', 'C6']",2000_64_2210_66642,0.911
"['D4', 'D6']","['S2', 'S6', 'C4']",2000_64_2210_66442,0.801
"['D4', 'D6']","['S2', 'S6', 'HT']",2000_64_2210_T6642,0.598
"['D4', 'D6']","['S2', 'S6', 'DA']",2000_64_3200_A6642,0.654
"['D4', 'D6']","['S2', 'S6', 'D2']",2000_64_3200_66422,0.69
"['D4', 'D6']","['S2', 'S5', 'S4']",2000_64_3200_65442,0.542
"['D4', 'D6']","['S2', 'S5', 'HJ']",2000_64_2210_J6542,0.31
"['D4', 'D6']","['S2', 'S5', 'HK']",2000_64_2210_K6542,0.327
"['D4', 'D6']","['S2', 'S5', 'DT']",2000_64_3200_T6542,0.322
"['D4', 'D6']","['S2', 'S5', 'HA']",2000_64_2210_A6542,0.327
"['D4', 'D6']","['S2', 'S5', 'DQ']",2000_64_3200_Q6542,0.363
"['D4', 'D6']","['S2', 'S5', 'H5']",2000_64_2210_65542,0.336
"['D4', 'D6']","['S2', 'S5', 'C2']",2000_64_2210_65422,0.306
"['D4', 'D6']","['S2', 'S5', 'C4']",2000_64_2210_65442,0.631
"['D4', 'D6']","['S2', 'S5', 'HT']",2000_64_2210_T6542,0.335
"['D4', 'D6']","['S2', 'S5', 'DA']",2000_64_3200_A6542,0.353
"['D4', 'D6']","['S2', 'S5', 'D5']",2000_64_3200_65542,0.386
"['D4', 'D6']","['S2', 'S5', 'D2']",2000_64_3200_65422,0.341
"['D4', 'D6']","['S2', 'S4', 'HJ']",2000_64_2210_J6442,0.608
"['D4', 'D6']","['S2', 'S4', 'HK']",2000_64_2210_K6442,0.623
"['D4', 'D6']","['S2', 'S4', 'DT']",2000_64_3200_T6442,0.626
"['D4', 'D6']","['S2', 'S4', 'HA']",2000_64_2210_A6442,0.64
"['D4', 'D6']","['S2', 'S4', 'DQ']",2000_64_3200_Q6442,0.631
"['D4', 'D6']","['S2', 'S4', 'C2']",2000_64_2210_64422,0.626
"['D4', 'D6']","['S2', 'S4', 'C4']",2000_64_2210_64442,0.931
"['D4', 'D6']","['S2', 'S4', 'HT']",2000_64_2210_T6442,0.633
"['D4', 'D6']","['S2', 'S4', 'DA']",2000_64_3200_A6442,0.639
"['D4', 'D6']","['S2', 'S4', 'D2']",2000_64_3200_64422,0.621
"['D4', 'D6']","['S2', 'HJ', 'HK']",2000_64_2210_KJ642,0.174
"['D4', 'D6']","['S2', 'HJ', 'HA']",2000_64_2210_AJ642,0.185
"['D4', 'D6']","['S2', 'HJ', 'C2']",2000_64_2111_J6422,0.209
"['D4', 'D6']","['S2', 'HJ', 'C7']",2000_64_2111_J7642,0.201
"['D4', 'D6']","['S2', 'HJ', 'C6']",2000_64_2111_J6642,0.628
"['D4', 'D6']","['S2', 'HJ', 'C5']",2000_64_2111_J6542,0.324
"['D4', 'D6']","['S2', 'HJ', 'C4']",2000_64_2111_J6442,0.648
"['D4', 'D6']","['S2', 'HJ', 'CK']",2000_64_2111_KJ642,0.191
"['D4', 'D6']","['S2', 'HJ', 'CJ']",2000_64_2111_JJ642,0.223
"['D4', 'D6']","['S2', 'HJ', 'CA']",2000_64_2111_AJ642,0.185
"['D4', 'D6']","['S2', 'HJ', 'HT']",2000_64_2210_JT642,0.18
"['D4', 'D6']","['S2', 'HJ', 'CT']",2000_64_2111_JT642,0.197
